date,time,direction,entry_price,stop_loss,take_profit,exit_price,pnl,result,balance
2026-01-02,09:05,short,25520.5,25540.5,25500.5,25500.5,138.75,WIN,10138.75
2026-01-02,09:15,short,25495.75,25515.75,25475.75,25515.75,-163.49,LOSS,9975.26
2026-01-02,09:30,short,25503.25,25523.25,25483.25,25523.25,-160.85,LOSS,9814.41
2026-01-02,10:15,short,25400.25,25420.25,25380.25,25380.25,136.17,WIN,9950.59
2026-01-05,09:40,long,25436.4,25416.4,25456.4,25416.4,-160.45,LOSS,9790.13
2026-01-05,09:50,long,25440.9,25420.9,25460.9,25420.9,-157.87,LOSS,9632.27
2026-01-05,10:00,long,25467.9,25447.9,25487.9,25487.9,133.65,WIN,9765.92
2026-01-05,12:10,long,25505.9,25485.9,25525.9,25485.9,-157.48,LOSS,9608.44
2026-01-06,09:30,long,25480.65,25460.65,25500.65,25460.65,-154.94,LOSS,9453.5
2026-01-06,09:45,long,25541.4,25521.4,25561.4,25561.4,131.17,WIN,9584.67
2026-01-07,09:15,long,25613.75,25593.75,25633.75,25633.75,132.99,WIN,9717.66
2026-01-07,09:35,long,25668.87,25648.87,25688.87,25688.87,134.83,WIN,9852.49
2026-01-07,10:40,long,25686.1,25666.1,25706.1,25706.1,136.7,WIN,9989.19
2026-01-08,09:05,long,25640.0,25620.0,25660.0,25620.0,-161.08,LOSS,9828.12
2026-01-08,10:25,short,25540.05,25560.05,25520.05,25520.05,136.37,WIN,9964.48
2026-01-08,10:35,short,25505.3,25525.3,25485.3,25525.3,-160.68,LOSS,9803.81
2026-01-08,10:45,short,25497.55,25517.55,25477.55,25477.55,136.03,WIN,9939.83
2026-01-08,11:00,short,25518.3,25538.3,25498.3,25498.3,137.92,WIN,10077.75
2026-01-08,11:25,short,25467.55,25487.55,25447.55,25447.55,139.83,WIN,10217.58
2026-01-08,11:50,short,25486.05,25506.05,25466.05,25506.05,-164.76,LOSS,10052.82
2026-01-08,12:00,short,25493.05,25513.05,25473.05,25513.05,-162.1,LOSS,9890.72
2026-01-08,12:20,short,25497.67,25517.67,25477.67,25477.67,137.23,WIN,10027.95
2026-01-09,10:50,long,25618.55,25598.55,25638.55,25638.55,139.14,WIN,10167.09
2026-01-09,11:00,long,25683.05,25663.05,25703.05,25703.05,141.07,WIN,10308.16
2026-01-12,09:05,long,25598.75,25578.75,25618.75,25578.75,-166.22,LOSS,10141.94
2026-01-12,09:35,long,25732.0,25712.0,25752.0,25712.0,-163.54,LOSS,9978.4
2026-01-12,12:45,long,25818.5,25798.5,25838.5,25817.37,-19.68,FORCED_CLOSE,9958.72
2026-01-13,09:30,long,25834.9,25814.9,25854.9,25854.9,138.18,WIN,10096.89
2026-01-13,09:45,long,25824.65,25804.65,25844.65,25804.65,-162.81,LOSS,9934.08
2026-01-13,11:00,short,25741.9,25761.9,25721.9,25761.9,-160.19,LOSS,9773.9
2026-01-13,12:20,long,25834.9,25814.9,25854.9,25814.9,-157.6,LOSS,9616.29
2026-01-13,12:30,long,25822.9,25802.9,25842.9,25802.9,-155.06,LOSS,9461.23
2026-01-14,09:05,short,25605.55,25625.55,25585.55,25625.55,-152.56,LOSS,9308.67
2026-01-14,09:35,short,25553.05,25573.05,25533.05,25533.05,129.16,WIN,9437.82
2026-01-14,10:20,short,25518.3,25538.3,25498.3,25498.3,130.95,WIN,9568.77
2026-01-14,11:30,short,25419.05,25439.05,25399.05,25399.05,132.77,WIN,9701.54
2026-01-14,12:50,short,25300.05,25320.05,25280.05,25305.92,-53.63,FORCED_CLOSE,9647.92
2026-01-15,09:40,long,25782.35,25762.35,25802.35,25762.35,-155.57,LOSS,9492.34
2026-01-15,09:50,long,25761.9,25741.9,25781.9,25741.9,-153.06,LOSS,9339.28
2026-01-15,10:35,long,25763.0,25743.0,25783.0,25743.0,-150.6,LOSS,9188.68
2026-01-15,11:40,long,25773.0,25753.0,25793.0,25793.0,127.49,WIN,9316.18
2026-01-15,12:15,long,25765.0,25745.0,25785.0,25745.0,-150.22,LOSS,9165.95
2026-01-16,09:30,long,25725.25,25705.25,25745.25,25705.25,-147.8,LOSS,9018.15
2026-01-16,12:10,short,25569.75,25589.75,25549.75,25549.75,125.13,WIN,9143.28
2026-01-16,12:40,short,25561.0,25581.0,25541.0,25541.0,126.86,WIN,9270.14
2026-01-19,09:20,short,25156.85,25176.85,25136.85,25136.85,128.62,WIN,9398.76
2026-01-19,10:55,long,25192.6,25172.6,25212.6,25212.6,130.41,WIN,9529.17
2026-01-19,11:30,long,25214.6,25194.6,25234.6,25234.6,132.22,WIN,9661.39
2026-01-20,09:35,long,25168.35,25148.35,25188.35,25148.35,-155.79,LOSS,9505.6
2026-01-20,09:45,long,25165.35,25145.35,25185.35,25185.35,131.89,WIN,9637.49
2026-01-20,10:10,long,25151.85,25131.85,25171.85,25131.85,-155.4,LOSS,9482.09
2026-01-20,10:20,long,25190.85,25170.85,25210.85,25210.85,131.56,WIN,9613.65
2026-01-20,11:00,long,25245.1,25225.1,25265.1,25265.1,133.39,WIN,9747.04
2026-01-20,11:30,long,25267.1,25247.1,25287.1,25287.1,135.24,WIN,9882.28
2026-01-20,11:45,long,25236.1,25216.1,25256.1,25216.1,-159.35,LOSS,9722.93
2026-01-20,11:55,long,25266.35,25246.35,25286.35,25246.35,-156.78,LOSS,9566.14
2026-01-21,09:45,long,25107.75,25087.75,25127.75,25127.75,132.73,WIN,9698.88
2026-01-22,10:50,short,25489.45,25509.45,25469.45,25509.45,-156.39,LOSS,9542.48
2026-01-22,12:05,long,25554.7,25534.7,25574.7,25534.7,-153.87,LOSS,9388.61
2026-01-22,12:20,long,25548.82,25528.82,25568.82,25568.82,130.27,WIN,9518.88
2026-01-23,09:30,short,25468.0,25488.0,25448.0,25488.0,-153.49,LOSS,9365.38
2026-01-23,11:35,long,25690.75,25670.75,25710.75,25670.75,-151.02,LOSS,9214.37
2026-01-23,12:05,long,25657.5,25637.5,25677.5,25677.5,127.85,WIN,9342.22
2026-01-23,12:15,long,25666.75,25646.75,25686.75,25646.75,-150.64,LOSS,9191.57
2026-01-26,09:35,long,25677.0,25657.0,25697.0,25657.0,-148.21,LOSS,9043.36
2026-01-27,09:05,short,25882.25,25902.25,25862.25,25862.25,125.48,WIN,9168.84
2026-01-27,09:35,short,25814.25,25834.25,25794.25,25834.25,-147.85,LOSS,9020.99
2026-01-27,12:25,long,25969.25,25949.25,25989.25,25949.25,-145.46,LOSS,8875.52
2026-01-28,09:35,short,26131.15,26151.15,26111.15,26151.15,-143.12,LOSS,8732.41
2026-01-28,09:45,short,26136.65,26156.65,26116.65,26156.65,-140.81,LOSS,8591.6
2026-01-28,09:55,short,26140.15,26160.15,26120.15,26120.15,119.21,WIN,8710.8
2026-01-28,12:25,short,26013.02,26033.02,25993.02,26033.02,-140.46,LOSS,8570.34
2026-01-28,12:55,short,26027.15,26047.15,26007.15,26027.15,-9.64,FORCED_CLOSE,8560.7
2026-01-29,09:00,short,26045.5,26065.5,26025.5,26025.5,118.78,WIN,8679.48
2026-01-29,09:35,short,25917.0,25937.0,25897.0,25897.0,120.43,WIN,8799.91
2026-01-29,11:45,short,25611.75,25631.75,25591.75,25591.75,122.1,WIN,8922.01
2026-01-29,11:55,short,25604.5,25624.5,25584.5,25624.5,-143.87,LOSS,8778.14
2026-01-30,09:35,long,25812.45,25792.45,25832.45,25792.45,-141.55,LOSS,8636.59
2026-01-30,09:50,long,25768.8,25748.8,25788.8,25748.8,-139.27,LOSS,8497.33
2026-01-30,10:05,long,25781.7,25761.7,25801.7,25761.7,-137.02,LOSS,8360.31
2026-01-30,11:45,short,25690.95,25710.95,25670.95,25670.95,116.0,WIN,8476.31
2026-01-30,12:30,short,25632.7,25652.7,25612.7,25652.7,-136.68,LOSS,8339.63
2026-01-30,12:50,short,25604.45,25624.45,25584.45,25624.45,-134.48,LOSS,8205.15
