date,direction,range_high,range_low,range_size,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl,balance
2026-01-06,long,25508.45,25441.4,67.05,2026-01-06 09:45:00-05:00,25519.4,25441.4,25586.45,2026-01-06 09:57:00-05:00,25586.45,TARGET,146.64,10146.64
2026-01-28,long,26176.7,26100.4,76.3,2026-01-28 09:45:00-05:00,26178.1,26100.4,26254.4,2026-01-28 10:12:00-05:00,26100.4,STOP,-157.98,9988.66
2026-03-31,short,23270.8,23226.25,44.55,2026-03-31 09:57:00-04:00,23215.3,23270.8,23170.75,2026-03-31 10:31:00-04:00,23270.8,STOP,-191.7,9796.96
2026-04-15,long,25862.6,25826.6,36.0,2026-04-15 10:25:00-04:00,25876.35,25826.6,25912.35,2026-04-15 10:40:00-04:00,25912.35,TARGET,140.83,9937.79
2026-04-17,long,26507.1,26468.25,38.85,2026-04-17 09:47:00-04:00,26511.1,26468.25,26549.95,2026-04-17 09:49:00-04:00,26549.95,TARGET,143.31,10081.1
2026-04-22,short,26750.9,26711.5,39.4,2026-04-22 09:48:00-04:00,26700.65,26750.9,26661.25,2026-04-22 10:19:00-04:00,26750.9,STOP,-198.62,9882.48
2026-04-24,short,27174.85,27110.2,64.65,2026-04-24 09:49:00-04:00,27101.45,27174.85,27036.8,2026-04-24 10:55:00-04:00,27036.8,TARGET,144.8,10027.28
