date,direction,range_high,range_low,range_size,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl,balance
2026-01-06,long,25508.45,25441.4,67.05,2026-01-06 09:45:00-05:00,25519.4,25441.4,25653.5,2026-01-06 10:55:00-05:00,25519.4,BREAKEVEN,-3.36,9996.64
2026-01-28,long,26176.7,26100.4,76.3,2026-01-28 09:45:00-05:00,26178.1,26100.4,26330.7,2026-01-28 10:12:00-05:00,26100.4,STOP,-155.65,9840.99
2026-03-31,short,23270.8,23226.25,44.55,2026-03-31 09:57:00-04:00,23215.3,23270.8,23126.2,2026-03-31 10:31:00-04:00,23270.8,STOP,-188.87,9652.12
2026-04-15,long,25862.6,25826.6,36.0,2026-04-15 10:25:00-04:00,25876.35,25826.6,25948.35,2026-04-15 10:43:00-04:00,25876.35,BREAKEVEN,-6.03,9646.09
2026-04-17,long,26507.1,26468.25,38.85,2026-04-17 09:47:00-04:00,26511.1,26468.25,26588.8,2026-04-17 09:50:00-04:00,26588.8,TARGET,283.8,9929.89
2026-04-22,short,26750.9,26711.5,39.4,2026-04-22 09:48:00-04:00,26700.65,26750.9,26621.85,2026-04-22 10:19:00-04:00,26750.9,STOP,-195.64,9734.25
2026-04-24,short,27174.85,27110.2,64.65,2026-04-24 09:49:00-04:00,27101.45,27174.85,26972.15,2026-04-24 11:09:00-04:00,27101.45,BREAKEVEN,-3.39,9730.86
